epoch,mAP@50,mAP
001,0.003,0.001
002,0.024,0.010
003,0.067,0.030
004,0.122,0.058
005,0.165,0.082
006,0.195,0.100
007,0.216,0.113
008,0.230,0.122
009,0.241,0.129
010,0.249,0.134
011,0.255,0.137
012,0.260,0.141
013,0.264,0.144
014,0.267,0.146
015,0.271,0.149
016,0.274,0.151
017,0.278,0.153
018,0.282,0.155
019,0.285,0.157
020,0.289,0.160
021,0.293,0.162
022,0.297,0.165
023,0.301,0.168
024,0.305,0.171
025,0.310,0.173
026,0.314,0.176
027,0.318,0.179
028,0.321,0.181
029,0.325,0.184
030,0.328,0.186
031,0.330,0.188
032,0.333,0.190
033,0.337,0.192
034,0.339,0.193
035,0.342,0.195
036,0.344,0.196
037,0.346,0.198
038,0.348,0.199
039,0.350,0.200
040,0.352,0.201
041,0.354,0.202
042,0.356,0.203
043,0.358,0.204
044,0.359,0.205
045,0.360,0.206
046,0.361,0.206
047,0.362,0.207
048,0.364,0.208
049,0.365,0.208
050,0.366,0.209
051,0.367,0.210
052,0.368,0.210
053,0.369,0.211
054,0.370,0.211
055,0.371,0.212
056,0.372,0.213
057,0.373,0.213
058,0.373,0.214
059,0.375,0.214
060,0.375,0.215
061,0.376,0.215
062,0.377,0.216
063,0.377,0.217
064,0.378,0.217
065,0.378,0.218
066,0.379,0.218
067,0.380,0.218
068,0.380,0.218
069,0.381,0.219
070,0.381,0.220
071,0.382,0.221
072,0.382,0.221
073,0.383,0.222
074,0.384,0.222
075,0.385,0.223
076,0.386,0.223
077,0.386,0.223
078,0.387,0.224
079,0.387,0.224
080,0.386,0.224
081,0.387,0.224
082,0.388,0.225
083,0.389,0.225
084,0.390,0.226
085,0.391,0.226
086,0.391,0.227
087,0.391,0.227
088,0.391,0.227
089,0.392,0.227
090,0.392,0.227
091,0.393,0.228
092,0.392,0.228
093,0.393,0.228
094,0.393,0.228
095,0.394,0.229
096,0.394,0.229
097,0.394,0.229
098,0.395,0.229
099,0.396,0.230
100,0.396,0.230
101,0.395,0.230
102,0.396,0.230
103,0.395,0.231
104,0.396,0.231
105,0.396,0.231
106,0.396,0.231
107,0.396,0.231
108,0.397,0.232
109,0.397,0.233
110,0.398,0.233
111,0.398,0.233
112,0.398,0.233
113,0.399,0.233
114,0.399,0.233
115,0.399,0.233
116,0.399,0.234
117,0.399,0.233
118,0.400,0.234
119,0.400,0.234
120,0.399,0.234
121,0.399,0.235
122,0.400,0.235
123,0.400,0.235
124,0.401,0.236
125,0.401,0.236
126,0.402,0.236
127,0.402,0.236
128,0.402,0.236
129,0.403,0.236
130,0.403,0.236
131,0.404,0.236
132,0.404,0.236
133,0.405,0.236
134,0.405,0.237
135,0.405,0.237
136,0.403,0.237
137,0.404,0.237
138,0.404,0.237
139,0.404,0.238
140,0.405,0.238
141,0.405,0.238
142,0.405,0.238
143,0.405,0.238
144,0.407,0.239
145,0.407,0.239
146,0.407,0.239
147,0.407,0.239
148,0.407,0.239
149,0.407,0.239
150,0.407,0.239
151,0.408,0.239
152,0.409,0.240
153,0.409,0.240
154,0.409,0.241
155,0.409,0.241
156,0.410,0.241
157,0.410,0.241
158,0.410,0.241
159,0.411,0.241
160,0.411,0.242
161,0.411,0.242
162,0.411,0.242
163,0.410,0.241
164,0.411,0.242
165,0.411,0.242
166,0.410,0.242
167,0.411,0.242
168,0.411,0.242
169,0.411,0.242
170,0.411,0.242
171,0.412,0.243
172,0.413,0.243
173,0.411,0.242
174,0.411,0.243
175,0.412,0.243
176,0.412,0.243
177,0.413,0.243
178,0.413,0.243
179,0.414,0.244
180,0.413,0.244
181,0.414,0.244
182,0.414,0.244
183,0.414,0.244
184,0.414,0.244
185,0.414,0.244
186,0.414,0.244
187,0.415,0.245
188,0.414,0.244
189,0.414,0.244
190,0.414,0.244
191,0.413,0.244
192,0.414,0.244
193,0.414,0.244
194,0.414,0.245
195,0.415,0.245
196,0.415,0.245
197,0.415,0.245
198,0.416,0.246
199,0.416,0.245
200,0.416,0.246
201,0.417,0.246
202,0.417,0.246
203,0.417,0.246
204,0.417,0.246
205,0.417,0.246
206,0.417,0.246
207,0.417,0.246
208,0.417,0.247
209,0.418,0.247
210,0.418,0.247
211,0.419,0.248
212,0.419,0.247
213,0.419,0.248
214,0.418,0.248
215,0.418,0.247
216,0.418,0.247
217,0.418,0.247
218,0.418,0.247
219,0.419,0.248
220,0.419,0.248
221,0.419,0.248
222,0.419,0.248
223,0.419,0.248
224,0.419,0.248
225,0.419,0.248
226,0.419,0.248
227,0.418,0.248
228,0.419,0.248
229,0.419,0.249
230,0.419,0.249
231,0.419,0.249
